,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
0,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,4,1,3,70,2,119,40,3
1,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,4,1,2,0,1,317,0,1
2,House,Entire home/apt,Real Bed,2,30,moderate,2/16/2019 5:00,2/16/2019 5:00,8,3,5,51,1,80,15,6
3,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,0,1,361,130,2
4,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,2,1,1,96,1,115,0,1
5,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,70,1,135,0,1
6,Apartment,Entire home/apt,Real Bed,4,20,flexible,3/11/2019 4:00,3/11/2019 4:00,3,1,2,3,1,699,0,1
7,Apartment,Entire home/apt,Real Bed,1,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,6,3,3,0,1,140,0,1
8,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,5,3,3,0,1.5,933,0,1
9,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2/11/2019 5:00,2/11/2019 5:00,2,2,2,0,1,380,0,1
10,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,3,1,2,22,1,400,0,1
11,House,Entire home/apt,Real Bed,2,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,6,2,6,1,1,527,211,1
12,Apartment,Entire home/apt,Real Bed,1,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,4,1,2,0,1,50,31,1
13,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,5,2,2,0,2,858,75,1
14,Hostel,Private room,Real Bed,1,1125,moderate,2/16/2019 5:00,2/16/2019 5:00,2,1,1,0,1,40,25,2
15,Apartment,Entire home/apt,Real Bed,7,180,moderate,2/16/2019 5:00,2/16/2019 5:00,2,1,1,12,1,40,0,2
16,Apartment,Entire home/apt,Real Bed,2,1125,moderate,3/11/2019 4:00,3/11/2019 4:00,2,0,1,1,1,966,0,1
17,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,4,2,2,1,1,220,0,1
18,Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,1,1,1,62,1,34,10,1
19,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,4,2,2,24,2,298,50,2
20,Apartment,Entire home/apt,Real Bed,1,1125,moderate,3/7/2019 5:00,3/7/2019 5:00,2,0,1,61,1,117,20,1
21,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2/18/2019 5:00,2/18/2019 5:00,4,2,4,3,1,838,0,1
22,Apartment,Entire home/apt,Real Bed,3,1125,flexible,3/6/2019 5:00,3/6/2019 5:00,3,1,1,0,1,150,0,1
23,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,239,1,45,10,1
24,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,4,1,2,0,1,264,53,1
25,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,1,1,9,1,330,0,1
26,Apartment,Entire home/apt,Real Bed,7,7,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,6,2,3,1,2,135,0,1
27,Apartment,Entire home/apt,Real Bed,2,15,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,6,2,5,8,2,798,20,4
28,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,8,1,8,1,4,250,40,4
